tract_id,population,workers,businesses,total_businesses,population_year,employment_business_year,region_code
23080510010001,498,18.0,8.0,18,2023,2023,23080
23080510010002,555,23.0,9.0,24,2023,2023,23080
23080510010003,425,66.0,18.0,31,2023,2023,23080
23080510020001,613,49.0,25.0,33,2023,2023,23080
23080510020002,421,121.0,92.0,102,2023,2023,23080
23080510020003,603,7.0,6.0,16,2023,2023,23080
23080510020004,490,75.0,16.0,31,2023,2023,23080
23080510020005,540,11.0,10.0,19,2023,2023,23080
23080510020006,451,486.0,140.0,151,2023,2023,23080
23080510020007,470,131.0,9.0,23,2023,2023,23080
23080510020008,652,329.0,75.0,97,2023,2023,23080
23080510020009,440,7.0,7.0,13,2023,2023,23080
23080510020010,521,22.0,16.0,30,2023,2023,23080
23080510020011,450,56.0,6.0,23,2023,2023,23080
23080510020012,472,6.0,5.0,15,2023,2023,23080
23080510020013,513,54.0,22.0,37,2023,2023,23080
23080510020014,559,5.0,5.0,16,2023,2023,23080
23080510020015,581,11.0,8.0,26,2023,2023,23080
23080510020016,440,120.0,10.0,25,2023,2023,23080
23080510030001,560,785.0,47.0,59,2023,2023,23080
23080510030002,592,1041.0,258.0,271,2023,2023,23080
23080510030003,444,47.0,9.0,19,2023,2023,23080
23080510030004,427,32.0,9.0,25,2023,2023,23080
23080510030005,482,94.0,33.0,38,2023,2023,23080
23080510030006,510,7.0,7.0,17,2023,2023,23080
23080510030007,540,5.0,5.0,10,2023,2023,23080
23080510030101,431,11.0,0.0,6,2023,2023,23080
23080510030102,326,0.0,0.0,4,2023,2023,23080
23080510030201,715,18.0,5.0,19,2023,2023,23080
23080510030301,505,5.0,0.0,13,2023,2023,23080
23080510030401,400,7.0,7.0,12,2023,2023,23080
23080510030402,357,15.0,0.0,17,2023,2023,23080
23080510030501,377,12.0,0.0,2,2023,2023,23080
23080510030502,591,9.0,9.0,17,2023,2023,23080
23080510030503,419,9.0,0.0,5,2023,2023,23080
23080510030504,534,28.0,17.0,25,2023,2023,23080
23080510030505,456,10.0,0.0,8,2023,2023,23080
23080510030701,516,17.0,9.0,21,2023,2023,23080
23080510030702,484,6.0,6.0,9,2023,2023,23080
23080510030703,621,16.0,10.0,20,2023,2023,23080
23080510030704,497,15.0,6.0,15,2023,2023,23080
23080510040001,471,1338.0,166.0,174,2023,2023,23080
23080510040101,334,0.0,0.0,2,2023,2023,23080
23080510040102,487,0.0,0.0,1,2023,2023,23080
23080510040103,420,11.0,0.0,3,2023,2023,23080
23080510040104,320,19.0,0.0,3,2023,2023,23080
23080510040105,395,0.0,0.0,1,2023,2023,23080
23080510040106,344,0.0,0.0,2,2023,2023,23080
23080510040107,356,0.0,0.0,2,2023,2023,23080
23080510040108,402,0.0,0.0,3,2023,2023,23080
23080510040109,481,62.0,13.0,21,2023,2023,23080
23080510040110,433,0.0,0.0,2,2023,2023,23080
23080510040111,376,0.0,0.0,3,2023,2023,23080
23080510040112,334,0.0,0.0,1,2023,2023,23080
23080510040201,426,66.0,13.0,18,2023,2023,23080
23080510040202,474,0.0,0.0,2,2023,2023,23080
23080510040203,481,0.0,0.0,4,2023,2023,23080
23080510040204,589,0.0,0.0,3,2023,2023,23080
23080510040205,370,0.0,0.0,2,2023,2023,23080
23080510040206,334,0.0,0.0,4,2023,2023,23080
23080510040207,400,0.0,0.0,6,2023,2023,23080
23080510040208,557,0.0,0.0,5,2023,2023,23080
23080510040209,584,86.0,10.0,22,2023,2023,23080
23080510040210,382,0.0,0.0,5,2023,2023,23080
23080510040211,456,0.0,0.0,5,2023,2023,23080
23080510040212,474,0.0,0.0,2,2023,2023,23080
23080510050001,464,189.0,73.0,87,2023,2023,23080
23080510050002,517,952.0,265.0,274,2023,2023,23080
23080510050003,439,153.0,11.0,19,2023,2023,23080
23080510050004,518,8.0,8.0,24,2023,2023,23080
23080510050005,446,140.0,65.0,84,2023,2023,23080
23080510050006,423,136.0,17.0,33,2023,2023,23080
23080510050007,623,39.0,15.0,33,2023,2023,23080
23080510050008,520,14.0,8.0,19,2023,2023,23080
23080510050009,546,114.0,5.0,13,2023,2023,23080
23080510050010,386,52.0,27.0,41,2023,2023,23080
23080510050011,606,7.0,7.0,16,2023,2023,23080
23080510050101,472,9.0,9.0,12,2023,2023,23080
23080510050102,606,232.0,8.0,23,2023,2023,23080
23080510050103,459,41.0,9.0,14,2023,2023,23080
23080510050104,404,14.0,7.0,13,2023,2023,23080
23080510050201,455,36.0,6.0,28,2023,2023,23080
23080510050202,481,0.0,0.0,8,2023,2023,23080
23080510050301,480,7.0,0.0,17,2023,2023,23080
23080510050302,394,29.0,5.0,25,2023,2023,23080
23080510050401,445,18.0,7.0,11,2023,2023,23080
23080510050402,494,14.0,7.0,19,2023,2023,23080
23080510050501,469,9.0,9.0,15,2023,2023,23080
23080510050502,278,0.0,0.0,6,2023,2023,23080
23080510050601,793,18.0,5.0,14,2023,2023,23080
23080510060001,436,964.0,238.0,253,2023,2023,23080
23080510060002,438,85.0,15.0,28,2023,2023,23080
23080510060003,414,2362.0,270.0,279,2023,2023,23080
23080510060004,403,7273.0,548.0,563,2023,2023,23080
23080510060005,535,77.0,21.0,34,2023,2023,23080
23080510060006,473,38.0,5.0,12,2023,2023,23080
23080510060007,570,54.0,20.0,35,2023,2023,23080
23080510060008,509,51.0,0.0,13,2023,2023,23080
23080510060009,490,48.0,5.0,17,2023,2023,23080
23080510060010,494,45.0,14.0,29,2023,2023,23080
23080510060011,474,56.0,0.0,9,2023,2023,23080
23080510060012,494,8.0,8.0,18,2023,2023,23080
23080510060101,795,24.0,18.0,34,2023,2023,23080
23080510060201,451,931.0,925.0,938,2023,2023,23080
23080510060202,603,7.0,7.0,23,2023,2023,23080
23080510060203,539,0.0,0.0,9,2023,2023,23080
23080510060301,508,20.0,0.0,7,2023,2023,23080
23080510060302,453,9.0,0.0,11,2023,2023,23080
23080510060401,558,31.0,12.0,19,2023,2023,23080
23080510060402,563,0.0,0.0,11,2023,2023,23080
23080510060403,445,0.0,0.0,7,2023,2023,23080
23080531010001,144,166.0,9.0,25,2023,2023,23080
23080531020001,543,112.0,16.0,37,2023,2023,23080
23080531020002,592,1324.0,35.0,54,2023,2023,23080
23080531020003,560,1452.0,114.0,128,2023,2023,23080
23080531020004,511,14.0,5.0,19,2023,2023,23080
23080531020005,429,355.0,95.0,103,2023,2023,23080
23080531020006,541,2380.0,41.0,58,2023,2023,23080
23080531020007,530,263.0,13.0,29,2023,2023,23080
23080531020008,481,7.0,7.0,16,2023,2023,23080
23080531020009,534,150.0,54.0,72,2023,2023,23080
23080531020010,561,88.0,19.0,37,2023,2023,23080
23080531020011,578,359.0,7.0,18,2023,2023,23080
23080531020012,482,187.0,60.0,81,2023,2023,23080
23080531020013,489,50.0,5.0,9,2023,2023,23080
23080531020014,587,220.0,62.0,72,2023,2023,23080
23080531020015,585,145.0,54.0,70,2023,2023,23080
23080531020016,462,0.0,0.0,2,2023,2023,23080
23080531020017,625,337.0,32.0,46,2023,2023,23080
23080531020018,488,51.0,21.0,32,2023,2023,23080
23080531020101,445,8.0,0.0,9,2023,2023,23080
23080531020201,522,5.0,0.0,10,2023,2023,23080
23080531020202,510,0.0,0.0,4,2023,2023,23080
23080531020203,519,0.0,0.0,3,2023,2023,23080
