region,minutes,population,households,workers,reached_station_nodes
cheongna,0,380.4881897527136,216.63066231187616,1413.7643361671846,1
cheongna,5,13051.308449168626,6674.826670730694,5409.494524854806,2
cheongna,10,13782.303637393548,7086.942251496375,5549.121178585494,3
cheongna,15,43661.967492080345,22051.411820520247,13810.579108577427,7
cheongna,20,154348.4381433567,77253.34450398592,51841.235049129755,17
cheongna,25,374831.5996156156,186447.93051425368,155226.76249051827,29
cheongna,30,622715.7843873994,309066.72674918344,268368.6142880088,47
cheongna,35,1075325.8847701806,527512.4941979313,467199.61662178376,62
cheongna,40,1805797.2606000484,881266.9364013803,812838.3681734384,85
cheongna,45,2643000.9836442927,1288712.0812571398,1254480.056441463,127
cheongna,50,4131961.8136044173,2005020.3559101287,1987310.0573364026,191
cheongna,55,4803469.850504305,2334004.1018304015,2647213.4135137065,242
cheongna,60,5596149.389223353,2718089.6707135076,3371925.2822791273,296
